iter	Passed	Remaining
760	10285	3230
761	10297	3216
762	10309	3202
763	10322	3188
764	10332	3174
765	10344	3160
766	10356	3146
767	10367	3131
768	10380	3118
769	10393	3104
770	10405	3090
771	10416	3076
772	10428	3062
773	10440	3048
774	10452	3034
775	10462	3020
776	10477	3006
777	10491	2993
778	10504	2980
779	10514	2965
780	10527	2952
781	10542	2938
782	10556	2925
783	10568	2911
784	10579	2897
785	10595	2884
786	10609	2871
787	10624	2858
788	10637	2844
789	10648	2830
790	10661	2817
791	10675	2803
792	10690	2790
793	10707	2778
794	10721	2764
795	10736	2751
796	10748	2737
797	10759	2723
798	10772	2710
799	10785	2696
800	10798	2682
801	10812	2669
802	10826	2656
803	10839	2642
804	10854	2629
805	10867	2615
806	10879	2601
807	10890	2587
808	10904	2574
809	10919	2561
810	10933	2547
811	10947	2534
812	10959	2520
813	10973	2507
814	10986	2493
815	11000	2480
816	11014	2467
817	11027	2453
818	11039	2439
819	11051	2425
820	11066	2412
821	11080	2399
822	11094	2386
823	11105	2372
824	11119	2358
825	11132	2345
826	11145	2331
827	11157	2317
828	11169	2303
829	11182	2290
830	11197	2277
831	11211	2263
832	11222	2249
833	11234	2236
834	11248	2222
835	11262	2209
836	11276	2195
837	11289	2182
838	11310	2170
839	11330	2158
840	11344	2144
841	11356	2131
842	11369	2117
843	11382	2103
844	11396	2090
845	11408	2076
846	11422	2063
847	11435	2049
848	11449	2036
849	11463	2022
850	11479	2009
851	11496	1997
852	11512	1983
853	11527	1970
854	11537	1956
855	11550	1943
856	11562	1929
857	11573	1915
858	11585	1901
859	11597	1887
860	11610	1874
861	11622	1860
862	11634	1847
863	11648	1833
864	11661	1820
865	11674	1806
866	11684	1792
867	11697	1778
868	11709	1765
869	11722	1751
870	11733	1737
871	11747	1724
872	11760	1710
873	11774	1697
874	11786	1683
875	11798	1670
876	11812	1656
877	11826	1643
878	11841	1630
879	11852	1616
880	11865	1602
881	11878	1589
882	11895	1576
883	11910	1562
884	11924	1549
885	11934	1535
886	11946	1521
887	11959	1508
888	11971	1494
889	11982	1481
890	11994	1467
891	12007	1453
892	12017	1439
893	12030	1426
894	12042	1412
895	12055	1399
896	12067	1385
897	12078	1371
898	12091	1358
899	12103	1344
900	12114	1331
901	12126	1317
902	12139	1303
903	12152	1290
904	12164	1276
905	12175	1263
906	12187	1249
907	12199	1236
908	12210	1222
909	12223	1208
910	12237	1195
911	12248	1181
912	12259	1168
913	12272	1154
914	12285	1141
915	12295	1127
916	12307	1113
917	12319	1100
918	12333	1087
919	12343	1073
920	12354	1059
921	12367	1046
922	12378	1032
923	12389	1019
924	12401	1005
925	12413	992
926	12425	978
927	12438	965
928	12450	951
929	12463	938
930	12474	924
931	12485	910
932	12498	897
933	12509	883
934	12523	870
935	12536	857
936	12548	843
937	12560	830
938	12571	816
939	12584	803
940	12598	789
941	12612	776
942	12623	763
943	12637	749
944	12650	736
945	12663	722
946	12675	709
947	12686	695
948	12698	682
949	12711	669
950	12721	655
951	12734	642
952	12746	628
953	12759	615
954	12770	601
955	12781	588
956	12793	574
957	12806	561
958	12818	548
959	12833	534
960	12847	521
961	12860	508
962	12872	494
963	12883	481
964	12896	467
965	12910	454
966	12924	441
967	12938	427
968	12951	414
969	12964	400
970	12978	387
971	12991	374
972	13005	360
973	13016	347
974	13029	334
975	13043	320
976	13058	307
977	13072	294
978	13085	280
979	13097	267
980	13110	253
981	13124	240
982	13136	227
983	13150	213
984	13163	200
985	13177	187
986	13190	173
987	13203	160
988	13215	146
989	13228	133
990	13242	120
991	13256	106
992	13271	93
993	13283	80
994	13295	66
995	13308	53
996	13323	40
997	13337	26
998	13349	13
999	13363	0
